name,title,longtitle,size,shoulders,layers,mmposition,videotutorial,videoauthor,videotutorial2,videoauthor2,videotutorial3,videoauthor3,position,description,pretied,finish,newborns,legstraighteners,leaners,bigkids,feeding,quickups,pregnancy,difficulty,fancy,votes,rings,pass_horizontal,pass_sling,pass_cross,pass_reinforcing_cross,pass_reinforcing_horizontal,pass_poppins,pass_ruck,pass_kangaroo,other_legpasses,other_chestpass,other_waistband,other_bunchedpasses,other_shoulderflip,other_twistedpass,other_s2s,other_eyelet,other_sternum,other_poppins
dh_double_rings,Double Hammock Double Rings,Double Hammock Double Rings,-3,2,2,1,https://www.youtube.com/embed/l6r7rZys7KQ?si=fpqZIKZ5yFMIzvhR,Amanda at Leap!,,,,,back,,0,ring(s),1,2,4,3,1,2,1,4,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dh_freshwater,Double Hammock Freshwater,Double Hammock Freshwater,1,2,2,1,https://www.youtube.com/embed/c9KysQpAXsw?si=wszswlYYOgeccfxj,Wrapyouinlove,https://www.youtube.com/embed/wIdK4sTj6Q0?si=J0AhGfm823qfX9Dy,TWOMORAYEELS,,,back,,0,TIF,1,2,4,5,1,2,1,4,5,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_pond,Double Hammock Pond Finish,Double Hammock with a Pond Finish,0,1,2,1,https://www.youtube.com/embed/aQoEJmYkzL4?si=SREN9WiLIgfro_i4,Little lifts,,,,,back,,0,TUB,1,2,2,4,1,2,1,4,5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
dh_poppins,Double Hammock Poppins,Double Hammock Poppins,0,1,2,1,https://www.youtube.com/embed/hhl7-UJgPYY?si=q8ylNaBtblbSxeuZ,Tandem Trouble,,,,,back,,0,TUB,1,2,2,4,1,2,1,4,5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
dh_rbc,Double Hammock Ruckless Bikini Carry,Double Hammock Ruckless Bikini Carry,2,2,4,1,https://www.youtube.com/embed/slZJ06ooNZ4?si=-uyAU7BsFQloTQXa,silverzephyr16,,,,,back,,0,TIF,1,5,4,5,1,1,1,5,5,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
dh_s2s,Double Hammock S2S,Double Hammock Shoulder to Shoulder,-1,2,3,6,https://www.youtube.com/embed/HyidL-pfkOE?si=cdC5ydG_iQXprxDV,Denim Bei Dai,,,,,back,,0,knotless,1,2,4,3,1,1,1,4,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
dh_saltwater_rapids,Double Hammock Saltwater Rapids,Double Hammock Saltwater Rapids,0,2,2,0,https://www.youtube.com/embed/otRH4gLDybc?si=bFOAvLYbdEeI_kQQ,silverzephyr16,,,,,back,,0,TIF,1,2,4,5,1,2,1,4,5,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_sweetheart,DH  with a Sweetheart Chest Pass,Double Hammock with a Sweetheart Chest Pass,0,2,2,1,https://www.youtube.com/embed/Y0r-HkJUz-U?si=ZP7J_bPNgrQAM4Os,Tandem Trouble,,,,,back,,0,TIF,1,2,4,4,1,2,1,4,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_tas,Double Hammock Tied at Shoulder,Double Hammock Tied at Shoulder,-1,2,2,0,https://www.youtube.com/embed/9eYK-U5Yp6M?si=QQiTwy14mJTpT13L,Wrapyouinlove,https://www.youtube.com/embed/hOf-Oh2-vTY?si=9WZTqwcxuqs1CbW-,WrappingRachel,,,back,,0,TAS,1,2,4,3,1,3,1,3,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_tif,Double Hammock TIF,Double Hammock Tied in Front,0,2,2,1,https://www.youtube.com/embed/ja5Rs8k7Gqw?si=d4mo-bxkWfxJ1DR8,Wraplena,https://www.youtube.com/embed/JMLpRjMHpoY?si=xdQBhVLByZ_FU3Fh,Wrapyouinlove,,,back,,0,TIF,1,2,4,4,1,2,1,3,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_xena,Double Hammock Xena,Double Hammock with a Xena Finish,1,2,2,1,https://www.youtube.com/embed/fbU5_Es7BqM?si=5cw-4dDDIEIdW7Aa,Oscha Slings,,,,,back,,0,ring(s),1,2,4,4,1,2,1,3,4,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
double_sling_s2s,Double Sling S2S,Double Sling Shoulder to Shoulder,0,2,2,1,https://www.youtube.com/embed/MW55e5NCOac?si=oebzYlBgfBmzP2cO,Tandem Trouble,https://www.youtube.com/embed/6AdD1E-uWrM?si=wblHpCe3OHjmTzB0,Wrapyouinlove,,,back,,0,TIF,2,2,4,2,1,3,1,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
double_twisted_pirate_strangleproof,Double Twisted Pirate Strangleproof,Double Twisted Pirate Strangleproof,0,2,3,0,,,,,,,back,,0,strangleproof,1,2,5,5,1,2,1,4,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
fcc,Front Cross Carry,Front Cross Carry,0,2,2,4,https://www.youtube.com/embed/pBLCy3qyWD8?si=XkbUuhE4x6DINtPO,Wrapyouinlove,,,,,front,,1,TIF,4,5,1,2,3,4,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
flipless_half_jordan,Flipless Half Jordan,Flipless Half Jordan,-3,2,2,1,https://www.youtube.com/embed/22hXEBCEG8w?si=4cJsnT7-atUibAUF,silverzephyr16,,,,,back,,0,CCCB,5,4,5,2,1,4,1,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
flipless_wendys_dh_cccb,Flipless Wendy's Double Hammock CCCB,Flipless Wendy's Double Hammock Candy Cane Chest Belt,0,2,3,0,https://www.youtube.com/embed/bHUYt8Ij9is?si=KROY0Vvw_kh3IJ_u,Wraplena,,,,,back,,0,CCCB,1,3,4,5,1,2,1,4,4,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
front_cross_sling,Front Cross Sling Carry,Front Cross Sling Carry,0,2,2,4,https://www.youtube.com/embed/PV8vCuIRYsc?si=A8JI5cv2S7Wx8UzY,Barabarncoach,,,,,front,,1,TUB,4,4,4,4,3,3,1,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
front_double_hammock,Front Double Hammock,Front Double Hammock,0,2,2,4,https://www.youtube.com/embed/xqiS20j-v6w?si=XV5SbjjyZDTkojIj,Tandem Trouble,,,,,front,,1,TUB,4,1,5,5,2,1,1,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
front_torso_carry,Front Torso Carry,Front Torso Carry,-3,0,1,3,https://www.youtube.com/embed/PqqvAqWUcSY?si=yIxTK6rSx5jtuk1Y,Tandem Trouble,,,,,front,,0,TUB,3,1,1,2,4,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
frts,Front Reinforced Traditional Sling Carry,Front Reinforced Traditional Sling Carry,-2,1,2,5,https://www.youtube.com/embed/9ofmavw1qSI?si=hFAiM9oI2K4p7MKJ,Amy Rainbow,,,,,front,,0,slipknot,5,1,3,2,3,2,1,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frts_pond,Semi-FWCC with a Pond Finish,Semi Front Wrap Cross Carry with a Pond Finish,0,1,1,3,https://www.youtube.com/embed/agjRif4h-v4?si=LEdqV7xkKIpNt9vC,Oscha Slings,,,,,front,,0,tied at the back,5,2,4,4,2,4,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
frts_poppins,FRTS Poppins,Front Reinforced Traditional Sling Carry Poppins,0,1,3,3,https://www.youtube.com/embed/MKPsYxNpNTM?si=u9GXEDn_O5lGOQaa,Wrapyouinlove,,,,,front,,0,tied at the back,4,1,2,4,2,2,1,4,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
fwcc,Front Wrap Cross Carry,Front Wrap Cross Carry,0,2,1,3,https://www.youtube.com/embed/W_Xz-lSJj-M?si=NH13HxyfDspvPPbm,Wraplena,https://www.youtube.com/embed/1ono2Aiszow?si=ZMv3Pgpy6_mm0us_,WrappingRachel,,,front,,0,tied at the back,4,2,1,2,3,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fwcc_lexi_twist,FWCC with a Lexi Twist,Front Wrap Cross Carry with a Lexi Twist,0,2,1,3,https://www.youtube.com/embed/pJOeQ0hqvRw?si=ZHnpXuIKQocpd7ZM,Wraplena,,,,,front,,0,tied at the back,5,1,1,1,2,5,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fwcc_spread_passes,FWCC with Spread Passes,Front Wrap Cross Carry with Spread Passes,0,2,3,3,https://www.youtube.com/embed/_PD5YKSf1Q4?si=zo8CbmofrLA2HRmt,Wrapyouinlove,,,,,front,,0,tied at the back,4,5,3,5,2,3,1,2,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fwcc_tub,FWCC TUB,Front Wrap Cross Carry Tied under Bum,-2,2,1,3,https://www.youtube.com/embed/7NIs3rDgX9w?si=GSF_M5YLcEAISTe4,Wrapyouinlove,,,,,front,,0,TUB,4,1,1,1,4,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
giselles,Giselle's Back Carry Knotless Tibetan,Giselle's Back Carry Knotless Tibetan,-1,2,3,0,https://www.youtube.com/embed/n0ZDO8AlTPM?si=wSMaqkT6vRtI0at-,Wrapyouinlove,https://www.youtube.com/embed/vojuOda2IvI?si=PFp8Yx2KvYgwwcd-,Tandem Trouble,,,back,,0,knotless tibetan,2,4,4,3,1,2,1,4,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
giselles_waistband_chestbelt,Giselle's Back Carry with Waist Band and Chest Belt,Giselle's Back Carry with Waist Band and Chest Belt,-1,2,3,2,https://www.youtube.com/embed/h4E5_sHTDXg?si=pPCSyzpzAA2UMTPV,BabywearingFaith,,,,,back,,0,CCCB,3,4,5,3,1,2,1,3,3,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
half_fwcc,Half FWCC,Half Front Wrap Cross Carry,-2,2,2,3,https://www.youtube.com/embed/FLQp-p1WHXo?si=5fH6HIeDO1z7O3hV,WrappingRachel,,,,,front,,0,slipknot,4,3,2,2,2,3,1,2,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
half_jordan,Half Jordan,Half Jordan,-3,2,2,1,https://www.youtube.com/embed/iKCZOqQsz5w?si=wSMJD4GtDO9YjspN,2MinuteTutes,https://www.youtube.com/embed/OcshSFS7HhI?si=kHA8AUH2NzHUK99N,WrappingRachel,,,back,,0,CCCB,1,4,4,2,1,3,1,5,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
half_silas_twist,Half Sila's Twist,Half Sila's Twist,-2,2,2,1,https://www.youtube.com/embed/owxOFWXY36I?si=xZ4HUQ8Pot4TGGyC,HoldOn&LetGo,,,,,back,,0,slipknot,2,2,4,3,1,2,1,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
half_taiwanese,Half Taiwanese Back Carry,Half Taiwanese Back Carry,-2,2,2,1,https://www.youtube.com/embed/0XSvLmZu9Mo?si=GCpAtJqC4Qc-EBHc,Wrapyouinlove,,,,,back,,0,TIF,2,4,4,3,1,3,1,4,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
hannahs_eyelet,Hannah's Eyelet Back Carry,Hannah's Eyelet Back Carry,1,2,2,1,https://www.youtube.com/embed/AYeocbAF2DQ?si=fvw3_eLBxAUT6FSR,Carry your Sunshine,https://www.youtube.com/embed/JHFV-or_tdM?si=QOOeSo_C2XoP6bO1,FerrousK,,,back,,0,TIF,1,2,4,3,1,1,1,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
hip_kangaroo,Hip Kangaroo,Hip Kangaroo,-3,1,1,-1,https://www.youtube.com/embed/GQ5eAfCN3W0?si=dFTuxXe4G7cnkseP,WrappingRachel,https://www.youtube.com/embed/w7PPKalkU9Q?si=5lNC0jxeD1p-Pfla,Wraplena,,,front,,1,TIF,5,1,2,1,4,3,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
io_coolest_hip_cross_carry,Inside Out Coolest Hip Cross Carry,Inside Out Coolest Hip Cross Carry,-2,1,2,5,https://www.youtube.com/embed/Q3CbwwMxTR4?si=DHHMLuNnbVqUXf5P,WrappingRachel,,,,,front,,1,slipknot,4,5,1,1,4,4,1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
io_front_pirate,Inside Out Front Pirate Carry,Inside Out Front Pirate Carry,-2,2,2,5,https://www.youtube.com/embed/6cwYDw2s6Xw?si=e8rzydNQGTvrv2WR,Wraplena,,,,,front,,1,slipknot,5,1,5,2,2,1,1,5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
iofrts,Inside Out FRTS,Inside Out Front Reinforced Traditional Sling Carry,-2,1,2,5,https://www.youtube.com/embed/ZeE83kWLxZU?si=iD8zid5TZtrUaG66,Alyssa Leonard,,,,,front,,1,slipknot,5,1,3,4,4,3,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jassys_double_twist_back_carry_tub,Jassy's Double Twist Back Carry TUB,Jassy's Double Twist Back Carry Tied Under Bum,1,2,2,1,https://www.youtube.com/embed/9GzzKAjViOw?si=0ecBZ8jaGewYHFq7,Embala eu mam‹e?!,,,,,back,,0,TUB,1,2,4,4,1,1,1,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
joriens_ringless_mermaid_back_carry,Jorien's Ringless Mermaid Back Carry,Jorien's Ringless Mermaid Back Carry,1,2,3,6,https://www.youtube.com/embed/3VIB_qvf42I?si=B1fzHJrlfHX-B8n2,Carry your Sunshine,,,,,back,,0,TIF,1,3,4,4,1,1,1,5,5,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
kangaroo,Kangaroo,Kangaroo,-3,2,1,3,https://www.youtube.com/embed/2VMWWA7rvt0?si=LLhpf6MMfTw61A4p,Wrapyouinlove,,,,,front,,0,TUB,5,1,5,3,1,2,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
kathleens_twisted_back_poppins,Kathleen's Twisted Back Poppins,Kathleen's Twisted Back Poppins,2,2,3,7,,,,,,,back,,0,slipknot,1,2,3,4,1,1,1,5,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
lenas_double_poppins,Lena's Double Poppins,Lena's Double Poppins,1,2,3,1,https://www.youtube.com/embed/fVwdXb9CagA?si=YlGzRniHfvG4fokG,kim on and wrap your baby,https://www.youtube.com/embed/s8gpPpgY6tY?si=BtsPp8GH0s06OpLB,Wrap your baby - Luca David,,,back,,0,TIF,1,5,4,5,1,1,1,4,5,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
lolas_back_carry,Lola's Back Carry,Lola's Back Carry,-3,2,2,1,https://www.youtube.com/embed/rCyJ0EQrNno?si=NuoA-YyDMr9qWtNc,Tandem Trouble,,,,,back,,0,ring(s),1,3,2,3,1,3,1,4,4,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
mermaid,Mermaid Carry,Mermaid Carry,1,2,3,0,https://www.youtube.com/embed/r0b0iO4fPyo?si=KHWmwvNrZZxCCn3s,Wrapyouinlove,,,,,back,,0,TUB,1,1,1,4,1,2,1,5,5,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
miriams_cross_carry,Miriam's Cross Carry,Miriam's Cross Carry,-1,2,3,0,https://www.youtube.com/embed/7hfi4_oaUkI?si=hnO4F6EPY11GuTSb,Wrapyouinlove,https://www.youtube.com/embed/r0CaH2M7KGg?si=YjdaDVZRaFk-CDHR,Wraplena,,,back,,0,CCCB,1,5,2,4,1,2,1,3,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
miriams_cross_carry_s2s,Miriam's Cross Carry S2S,Miriam's Cross Carry Shoulder to Shoulder,0,2,3,6,https://www.youtube.com/embed/dDNuM4tfQBk?si=N6DOfVoO_9h3PoF7,Firespiral Slings,https://www.youtube.com/embed/o22BSmkqc8s?si=-nsPKmt4TudRpFOI,Wraplettes,,,back,,0,knotless,1,5,2,4,1,1,1,4,5,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
miriams_cross_carry_s2s_rings,Miriam's Cross Carry S2S with a ring,Miriam's Cross Carry Shoulder to Shoulder with a Ring,0,2,3,6,https://www.youtube.com/embed/hhxmhbh-xsY?si=-rQwL1ozPBOzbCBs,Firespiral Slings,,,,,back,,0,ring(s),1,5,2,4,1,1,1,4,5,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
no_sew_rs,No Sew Ring Sling,No Sew Ring Sling,-5,1,1,-1,https://www.youtube.com/embed/8UXKYG0t7e4?si=9-dWJCFmqugK5PF_,Oscha Slings,,,,,front,,1,ring(s),5,1,2,2,5,5,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonono_hip_carry,No no no hip carry,No no no hip carry,0,1,1,-1,https://www.youtube.com/embed/Zq4ZJeUZcDI?si=3CubzOJCLlsJ3MsV,Oscha Slings,,,,,front,,0,knotless,3,1,1,1,5,5,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
norwegian_wiggleproof,Norwegian Wiggleproof,Norwegian Wiggleproof,-1,2,3,0,https://www.youtube.com/embed/Yv9MYHHVZYU?si=NB-2fF78ibBTaqQR,Wrapyouinlove,https://www.youtube.com/embed/wkUYq6RvD8g?si=xuj94tVOa4Ujd_I9,Oscha Slings,,,back,,0,CCCB,1,5,5,5,1,1,1,3,3,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pirates,Pirate's Carry,Pirate's Carry,-3,2,2,1,https://www.youtube.com/embed/6t52dHbcKyU?si=fZJFFBJtrCCPUA6M,Wraplena,https://www.youtube.com/embed/8WmxVeS84F0?si=mYDQDRdpO3l2Arkj,WrappingRachel,,,back,,0,CCCB,2,2,5,2,1,4,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
poppins_hip_carry,Poppins Hip Carry,Poppins Hip Carry,-3,1,2,5,https://www.youtube.com/embed/TvYh_6RaFKc?si=FNXuZwsV14L2H7eN,LennyLamb,,,,,front,,0,TUB,4,1,1,2,2,2,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
rainbows_carry,Rainbows Back Carry,Rainbows Back Carry,0,2,3,6,https://www.youtube.com/embed/FpsjU-FfWNc?si=BO7gmVfn5tzbsgdK,Amy Rainbow,,,,,back,,0,knotless,2,5,5,4,1,1,1,4,5,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
reinforced_kangaroo,Reinforced Kangaroo,Reinforced Kangaroo,0,2,3,3,https://www.youtube.com/embed/WxaA-GNPbFo?si=95yHXT10GdbIzg3c,Wrapyouinlove,,,,,front,,0,tied at the back,5,3,5,4,1,1,1,4,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
reinforced_robins_hip_carry,Reinforced Robin's Hip Carry,Reinforced Robin's Hip Carry,0,1,3,5,https://www.youtube.com/embed/IKwlS7inlcs?si=mxazZBtxHn525ZWN,Wrapyouinlove,,,,,front,,1,tied at the back,4,1,3,3,2,2,1,3,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
robins_hip_carry,Robin's Hip Carry,Robin's Hip Carry,-2,1,1,5,https://www.youtube.com/embed/tUZPMgTxE18?si=r1-cUi6LoLQvey3V,Oscha Slings,,,,,front,,1,TUB,4,1,2,2,3,4,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ruck_buleria,Ruck Buleria,Ruck Buleria,-4,2,1,6,https://www.youtube.com/embed/6dZIjFbuEss?si=7fzqJCeqVd0Gsesx,Wrapping My Heart,,,,,back,,0,buleria,5,1,5,1,1,5,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ruck_cccb,Ruck CCCB,Ruck Candy Cane Chest Belt,-3,2,1,1,https://www.youtube.com/embed/cV3a9F6GHEY?si=065y8NYIfN7h51_-,Wraplena,https://www.youtube.com/embed/2IDoWMV1B0Q?si=g22ijZmhQToo0HWY,TWOMORAYEELS,https://www.youtube.com/embed/uZwx0l_BAmw?si=rPtZWywbaskBGAuK,WrappingRachel,back,,0,CCCB,5,1,5,1,1,5,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ruck_celtic_knot,Ruck with a Celtic Knot,Ruck with a Celtic Knot,2,2,3,0,https://www.youtube.com/embed/Tlc7EQ-UHkk?si=Ke5e9MRF8t-b7e9U,Oscha Slings,,,,,back,,0,TUB,4,5,5,1,1,1,1,4,5,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
ruck_datenight,Ruck with a Date night Finish,Ruck with a Date night or Goddess Finish,1,2,1,0,https://www.youtube.com/embed/Ujn9XexrQ70?si=1bkEUEJB9RiCJJp3,Wrapyouinlove,https://www.youtube.com/embed/qIpeTs5NJ4U?si=T53VrrpPC-FTmscq,Wrapping My Heart,,,back,,0,knotless,5,2,5,1,1,3,1,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
